ID_PROFIL;LIB_PROFIL;TYPE_ZONE;ID_ZONE;USERNAME_BO;PASSWORD_BO;DATEMAJ_PROFIL;DATE_SAVE
1;Administrateur;;;etudiant01;P@ssw0rd;22-03-2016;22-03-2016
2;Directeur commercial;3;;etudiant02;P@ssw0rd;22-03-2016;22-03-2016
3;Directeur Alencon;2;1;etudiant08;P@ssw0rd;22-03-2016;22-03-2016
4;Directeur Amiens;2;2;etudiant09;P@ssw0rd;22-03-2016;22-03-2016
5;Directeur Angers;2;3;etudiant10;P@ssw0rd;22-03-2016;22-03-2016
6;Directeur Angouleme;2;4;etudiant11;P@ssw0rd;22-03-2016;22-03-2016
7;Directeur Arras;2;5;etudiant12;P@ssw0rd;22-03-2016;22-03-2016
8;Directeur Bastia;2;6;etudiant13;P@ssw0rd;22-03-2016;22-03-2016
9;Directeur Besancon;2;7;etudiant14;P@ssw0rd;22-03-2016;22-03-2016
10;Directeur Bobigny;2;8;etudiant15;P@ssw0rd;22-03-2016;22-03-2016
11;Directeur Bordeaux;2;9;etudiant16;P@ssw0rd;22-03-2016;22-03-2016
12;Directeur Bourges;2;10;etudiant17;P@ssw0rd;22-03-2016;22-03-2016
13;Directeur Carcassonne;2;11;etudiant18;P@ssw0rd;22-03-2016;22-03-2016
14;Directeur Cergy;2;12;etudiant19;P@ssw0rd;22-03-2016;22-03-2016
15;Directeur Chambery;2;13;etudiant20;P@ssw0rd;22-03-2016;22-03-2016
16;Directeur Clermont-Ferrand;2;14;etudiant21;P@ssw0rd;22-03-2016;22-03-2016
17;Directeur Creteil;2;15;etudiant22;P@ssw0rd;22-03-2016;22-03-2016
18;Directeur Digne;2;16;etudiant23;P@ssw0rd;22-03-2016;22-03-2016
19;Directeur Dijon;2;17;etudiant24;P@ssw0rd;22-03-2016;22-03-2016
20;Directeur Evry;2;18;etudiant25;P@ssw0rd;22-03-2016;22-03-2016
21;Directeur Foix;2;19;etudiant26;P@ssw0rd;22-03-2016;22-03-2016
22;Directeur Grenoble;2;20;etudiant27;P@ssw0rd;22-03-2016;22-03-2016
23;Directeur Lille;2;21;etudiant28;P@ssw0rd;22-03-2016;22-03-2016
24;Directeur Limoges;2;22;etudiant29;P@ssw0rd;22-03-2016;22-03-2016
25;Directeur Lyon;2;23;etudiant30;P@ssw0rd;22-03-2016;22-03-2016
26;Directeur Marseille;2;24;etudiant31;P@ssw0rd;22-03-2016;22-03-2016
27;Directeur Melun;2;25;etudiant32;P@ssw0rd;22-03-2016;22-03-2016
28;Directeur Metz;2;26;etudiant33;P@ssw0rd;22-03-2016;22-03-2016
29;Directeur Nancy;2;27;etudiant34;P@ssw0rd;22-03-2016;22-03-2016
30;Directeur Nanterre;2;28;etudiant35;P@ssw0rd;22-03-2016;22-03-2016
31;Directeur Nantes;2;29;etudiant36;P@ssw0rd;22-03-2016;22-03-2016
32;Directeur Nice;2;30;etudiant37;P@ssw0rd;22-03-2016;22-03-2016
33;Directeur Nimes;2;31;etudiant38;P@ssw0rd;22-03-2016;22-03-2016
34;Directeur Nord_Est;1;2;etudiant04;P@ssw0rd;22-03-2016;22-03-2016
35;Directeur Nord_Ouest;1;1;etudiant03;P@ssw0rd;22-03-2016;22-03-2016
36;Directeur Paris-Sud;2;32;etudiant39;P@ssw0rd;22-03-2016;22-03-2016
37;Directeur Paris-Nord;2;33;etudiant40;P@ssw0rd;22-03-2016;22-03-2016
38;Directeur Pau;2;34;etudiant41;P@ssw0rd;22-03-2016;22-03-2016
39;Directeur Perigueux;2;35;etudiant42;P@ssw0rd;22-03-2016;22-03-2016
40;Directeur Quimper;2;36;etudiant43;P@ssw0rd;22-03-2016;22-03-2016
41;Directeur Rodez;2;37;etudiant44;P@ssw0rd;22-03-2016;22-03-2016
42;Directeur Rouen;2;38;etudiant45;P@ssw0rd;22-03-2016;22-03-2016
43;Directeur Région_parisienne;1;5;etudiant07;P@ssw0rd;22-03-2016;22-03-2016
44;Directeur Saint-Brieuc;2;39;etudiant46;P@ssw0rd;22-03-2016;22-03-2016
45;Directeur Saint-Etienne;2;40;etudiant47;P@ssw0rd;22-03-2016;22-03-2016
46;Directeur Strasbourg;2;41;etudiant48;P@ssw0rd;22-03-2016;22-03-2016
47;Directeur Sud_Est;1;4;etudiant06;P@ssw0rd;22-03-2016;22-03-2016
48;Directeur Sud_Ouest;1;3;etudiant05;P@ssw0rd;22-03-2016;22-03-2016
49;Directeur Tarbes;2;42;etudiant49;P@ssw0rd;22-03-2016;22-03-2016
50;Directeur Toulon;2;43;etudiant50;P@ssw0rd;22-03-2016;22-03-2016
51;Directeur Tours;2;44;etudiant51;P@ssw0rd;22-03-2016;22-03-2016
52;Directeur Troyes;2;45;etudiant52;P@ssw0rd;22-03-2016;22-03-2016
53;Directeur Valence;2;46;etudiant53;P@ssw0rd;22-03-2016;22-03-2016
54;Directeur Valenciennes;2;47;etudiant54;P@ssw0rd;22-03-2016;22-03-2016
55;Directeur Versailles;2;48;etudiant55;P@ssw0rd;22-03-2016;22-03-2016
